N,Sum
1.0,1.0
2.0,3.0
3.0,6.0
4.0,10.0
5.0,15.0
6.0,21.0
7.0,28.0
8.0,36.0
9.0,45.0
10.0,55.0
11.0,66.0
12.0,78.0
13.0,91.0
14.0,105.0
15.0,120.0
16.0,136.0
17.0,153.0
18.0,171.0
19.0,190.0
20.0,210.0
21.0,231.0
22.0,253.0
23.0,276.0
24.0,300.0
25.0,325.0
26.0,351.0
27.0,378.0
28.0,406.0
29.0,435.0
30.0,465.0
31.0,496.0
32.0,528.0
33.0,561.0
34.0,595.0
35.0,630.0
36.0,666.0
37.0,703.0
38.0,741.0
39.0,780.0
40.0,820.0
41.0,861.0
42.0,903.0
43.0,946.0
44.0,990.0
45.0,1035.0
46.0,1081.0
47.0,1128.0
48.0,1176.0
49.0,1225.0
50.0,1275.0
51.0,1326.0
52.0,1378.0
53.0,1431.0
54.0,1485.0
55.0,1540.0
56.0,1596.0
57.0,1653.0
58.0,1711.0
59.0,1770.0
60.0,1830.0
61.0,1891.0
62.0,1953.0
63.0,2016.0
64.0,2080.0
65.0,2145.0
66.0,2211.0
67.0,2278.0
68.0,2346.0
69.0,2415.0
70.0,2485.0
71.0,2556.0
72.0,2628.0
73.0,2701.0
74.0,2775.0
75.0,2850.0
76.0,2926.0
77.0,3003.0
78.0,3081.0
79.0,3160.0
80.0,3240.0
81.0,3321.0
82.0,3403.0
83.0,3486.0
84.0,3570.0
85.0,3655.0
86.0,3741.0
87.0,3828.0
88.0,3916.0
89.0,4005.0
90.0,4095.0
91.0,4186.0
92.0,4278.0
93.0,4371.0
94.0,4465.0
95.0,4560.0
96.0,4656.0
97.0,4753.0
98.0,4851.0
99.0,4950.0
100.0,5050.0
